the_geom,OBJECTID,Meter ID,Parking Zone,Street,Block,Type,Side,Number of Spaces,Parkmobile ID,Latitude,Longitude,Updated in CNOGIS
POINT (-90.071108712597 29.951336713108),1104551,UNI-700-1849,3,Union,700,SSM,D,1,29402,29.9513313,-90.071103100000002,
POINT (-90.067373611385 29.949464012815),1104119,NAT-400-1200,4,Natchez,400,SSM,U,1,29260,29.9494586,-90.067368000000002,
POINT (-90.068978111808 29.946392612177),1104004,MAG-700-0895,8,Magazine,700,PS,L,2,29206,29.9463872,-90.068972500000001,
POINT (-90.06596181097 29.947424013174),1104257,S.PET-500-1419,8,S. Peters,500,SSM,L,1,29316,29.947418599999999,-90.065956200000002,
POINT (-90.077356614311 29.947133412785),1103880,JUL-1200-0868,7,Julia,1200,PS,U,10,29189,29.947127999999999,-90.077350999999993,
POINT (-90.066698010836 29.944635112498),1103665,COM-800-0413,8,Commerce,800,SSM,L,1,2985,29.9446297,-90.066692399999994,
POINT (-90.065213611103 29.96397811642),1104076,N.RAM-1100-1166,6,N. Rampart,1100,SSM,R,1,29252,29.963972699999999,-90.065207999999998,
POINT (-90.065305611759 29.96420541688),1104078,N.RAM-1100-1187,6,N. Rampart,1100,SSM,L,1,29252,29.964200000000002,-90.065299999999993,
POINT (-90.061844709636 29.958125314874),1103947,MAD-500-0881,6,Madison,500,SSM,D,1,29199,29.9581199,-90.0618391,
POINT (-90.073430813199 29.94916571257),1103416,BAR-500-0077,7,Baronne,500,PS,L,13,2913,29.949160299999999,-90.073425200000003,
POINT (-90.066823611642 29.953115514327),1103862,IBE-500-0746,6,Iberville,500,SSM,U,1,29172,29.9531101,-90.066817999999998,
POINT (-90.071570612618 29.949660813167),1104200,POY-700-1332,7,Poydras,700,PS,U,7,29290,29.949655400000001,-90.071565000000007,
POINT (-90.069015011017 29.945829312604),1104007,MAG-700-0940,8,Magazine,700,SSM,R,1,29206,29.945823900000001,-90.069009399999999,
POINT (-90.073346112845 29.950507613079),1104144,PEN-400-1258,3,Penn,400,SSM,R,1,29272,29.950502199999999,-90.0733405,
POINT (-90.072600112337 29.949889913126),1104202,POY-800-1330,7,Poydras,800,PS,U,5,29291,29.9498845,-90.072594499999994,
POINT (-90.070784111965 29.945772011916),1103897,JUL-600-0775,7,Julia,600,SSM,D,1,29183,29.945766599999999,-90.070778500000003,
POINT (-90.071586511922 29.950887513639),1103506,CAR-300-0303,3,Carondelet,300,SSM,L,1,2958,29.950882100000001,-90.071580900000001,
POINT (-90.075039113314 29.955437314487),1104352,S.SAR-200-1545,5,S. Saratoga,200,SSM,L,1,29343,29.955431900000001,-90.075033500000004,
POINT (-90.069762611461 29.945473412123),1103895,JUL-500-0776,8,Julia,500,PS,U,12,29182,29.945468000000002,-90.069756999999996,
POINT (-90.071728612671 29.944338412044),1104464,ST.JOS-600-1727,7,St. Joseph,600,PS,D,6,29372,29.944333,-90.071723000000006,
POINT (-90.078623814854 29.954735413866),1103830,GRA-1600-0670,2,Gravier,1600,PS,U,8,29163,29.954730000000001,-90.078618199999994,
POINT (-90.065234211234 29.953143813753),1104053,N.PET-200-1121,6,N. Peters,200,SSM,L,1,29236,29.9531384,-90.065228599999998,
POINT (-90.067166410896 29.953698413991),1103534,CHA-200-0356,6,Chartres,200,SSM,R,1,2968,29.953693000000001,-90.067160799999996,
POINT (-90.066240610245 29.946187012699),1103797,GIR-300-0592,8,Girod,300,PS,U,4,29145,29.946181599999999,-90.066235000000006,
POINT (-90.076289314451 29.959497315151),1103860,IBE-1600-0729,5,Iberville,1600,PS,D,4,29174,29.9594919,-90.076283700000005,
POINT (-90.072122012133 29.949791513033),1104205,POY-800-1360,7,Poydras,800,SSM,U,1,29291,29.949786100000001,-90.072116399999999,
POINT (-90.067722511484 29.946506812842),1103800,GIR-400-0580,8,Girod,400,PS,U,6,29146,29.946501399999999,-90.067716899999994,
POINT (-90.068870511699 29.956709014326),1103680,DAU-300-0465,6,Dauphine,300,SSM,L,1,29104,29.956703600000001,-90.068864899999994,
POINT (-90.065642310539 29.940511111316),1104255,S.PET-1100-1504,8,S. Peters,1100,SSM,R,1,29322,29.940505699999999,-90.065636699999999,
POINT (-90.071659212649 29.951499413623),1104554,UNI-800-1853,3,Union,800,SSM,D,1,29403,29.951494,-90.071653600000005,
POINT (-90.076932413802 29.947425612164),1103940,LOY-700-0859,7,Loyola,700,SSM,L,1,29198,29.9474202,-90.076926799999995,
POINT (-90.070645912193 29.944787012322),1103490,CAM-800-0192,7,Camp,800,PS,R,7,2939,29.944781599999999,-90.070640299999994,
POINT (-90.069647311676 29.941824911465),1104168,POE-1000-1299,8,Poeyfarre,1000,PS,D,9,29284,29.941819500000001,-90.069641700000005,
POINT (-90.067841411138 29.945005812319),1103892,JUL-400-0784,8,Julia,400,PS,U,5,29181,29.945000400000001,-90.067835799999997,
POINT (-90.075081212233 29.930762208928),1103959,MAG-2000-0971,10,Magazine,2000,PS,L,6,29212,29.930756800000001,-90.075075600000005,
POINT (-90.06642681134 29.954522714781),1103540,CHA-300-0370,6,Chartres,300,SSM,R,1,2969,29.954517299999999,-90.066421199999994,
POINT (-90.076024013618 29.956562614626),1103920,LAS-100-0872,5,LaSalle,100,SSM,R,1,29190,29.956557199999999,-90.076018399999995,
POINT (-90.076640613647 29.958787415049),1104109,N.ROB-100-1199,5,N. Robertson,100,PS,L,9,29255,29.958781999999999,-90.076634999999996,
POINT (-90.073375612898 29.943749411458),1103853,HOW-700-0714,7,Howard,700,PS,U,4,29169,29.943743999999999,-90.073369999999997,
POINT (-90.075705614183 29.957905414376),1103602,CNL-1500-0267,5,Canal,1500,PS,D,4,2954,29.957899999999999,-90.075699999999998,
POINT (-90.066026411327 29.963039716594),1104068,N.RAM-1000-1150,6,N. Rampart,1000,SSM,R,1,29251,29.9630343,-90.066020800000004,
POINT (-90.073101712492 29.946193812719),1103905,JUL-800-0834,7,Julia,800,SSM,U,1,29185,29.9461884,-90.073096100000001,
POINT (-90.071899812493 29.956815314334),1104086,N.RAM-200-1161,6,N. Rampart,200,SSM,L,1,29243,29.9568099,-90.071894200000003,
POINT (-90.072563912637 29.946067612017),1103903,JUL-700-0832,7,Julia,700,PS,U,3,29184,29.9460622,-90.072558299999997,
POINT (-90.075147713951 29.955316414191),1104354,S.SAR-200-1549,5,S. Saratoga,200,SSM,L,1,29343,29.955310999999998,-90.075142099999994,
POINT (-90.070172612521 29.951218913928),1104423,ST.CHA-300-1589,3,St. Charles,300,SSM,L,1,29350,29.951213500000001,-90.070166999999998,
POINT (-90.05705090849 29.962623716801),1103701,DEC-2100-0551,6,Decatur,2100,SSM,L,1,29119,29.962618299999999,-90.057045299999999,
POINT (-90.061763509547 29.957838415589),1103720,DEC-800-0510,6,Decatur,800,SSM,R,1,29113,29.957833000000001,-90.061757900000003,
POINT (-90.077273612852 29.936031409602),1103764,FEL-1500-0611,9,Felicity,1500,PS,U,2,29134,29.936025999999998,-90.077268000000004,
POINT (-90.067727911262 29.945073312585),1103889,JUL-400-0755,8,Julia,400,SSM,D,1,29181,29.945067900000002,-90.0677223,
POINT (-90.067502411169 29.949503113124),1104120,NAT-400-1202,4,Natchez,400,SSM,U,1,29260,29.949497699999998,-90.067496800000001,
POINT (-90.087010615263 29.923804207313),1103978,MAG-3200-0970,10,Magazine,3200,PS,R,5,29219,29.9237988,-90.087005000000005,
POINT (-90.068574311235 29.94361271222),1104449,ST.JOS-300-1713,8,St. Joseph,300,SSM,D,1,29370,29.9436073,-90.0685687,
POINT (-90.071659212649 29.951499413623),1104553,UNI-800-1851,3,Union,800,SSM,D,1,29403,29.951494,-90.071653600000005,
POINT (-90.078393214828 29.954305513926),1103769,FRE-400-0899,2,Freret,400,PS,L,10,,29.954300100000001,-90.078387599999999,
POINT (-90.076965914394 29.954204114203),1103828,GRA-1400-1867,2,Gravier,1400,PS,D,10,29162,29.954198699999999,-90.076960299999996,
POINT (-90.066106110623 29.953957714256),1103439,BIE-500-0093,6,Bienville,500,SSM,D,1,2924,29.953952300000001,-90.066100500000005,
POINT (-90.065513610628 29.952512013812),1104046,N.PET-200-1107,6,N. Peters,200,SSM,L,1,29236,29.9525066,-90.065507999999994,
POINT (-90.064852310476 29.955584314903),1104472,ST.LOU-500-1749,6,St. Louis,500,SSM,D,1,29375,29.955578899999999,-90.064846700000004,
POINT (-90.057154308527 29.963527716408),1103537,CHA-2100-0350,6,Chartres,2100,PS,R,10,2974,29.963522300000001,-90.057148699999999,
POINT (-90.134055428641 29.9450983098),1103742,DUB-700-0540,10,Dublin W,700,PS,U,12,29125,29.945092899999999,-90.1340498,
POINT (-90.071305612294 29.957105414842),1104084,N.RAM-200-1118,6,N. Rampart,200,SSM,R,1,29243,29.957100000000001,-90.071299999999994,
POINT (-90.064548809968 29.950335113673),1103611,CNL-300-0201,6,Canal,300,SSM,D,1,2942,29.950329700000001,-90.064543200000003,
POINT (-90.065084310469 29.955738014568),1104474,ST.LOU-500-1753,6,St. Louis,500,SSM,D,1,29375,29.955732600000001,-90.065078700000001,
POINT (-90.071648413031 29.9547367138),1103640,CNL-900-0236,3,Canal,900,SSM,U,1,2948,29.954731299999999,-90.071642800000006,
POINT (-90.072604913152 29.951577013287),1103411,BAR-300-0054,3,Baronne,300,SSM,R,1,2912,29.951571600000001,-90.072599299999993,
POINT (-90.067307711342 29.961611916274),1104104,N.RAM-800-1116,6,N. Rampart,800,PS,R,10,29249,29.961606499999998,-90.067302100000006,
POINT (-90.074690113109 29.948792812912),1104136,OKE-600-1244,7,O'Keefe,600,PS,R,7,29268,29.948787400000001,-90.074684500000004,
POINT (-90.074527712998 29.946532712458),1103911,JUL-900-0848,7,Julia,900,SSM,U,1,29186,29.9465273,-90.074522099999996,
POINT (-90.082984215778 29.954366313651),1104336,S.ROM-600-1523,1,S. Roman,600,SSM,L,1,29339,29.954360900000001,-90.082978600000004,
POINT (-90.091404616635 29.925398606804),1103733,DEL-1400-0527,9,Delachaise,1400,SSM,U,1,29121,29.925393199999998,-90.091398999999996,
POINT (-90.064977610475 29.940865411159),1103873,JOH-200-0770,8,John Churchill,200,PS,U,6,29177,29.940860000000001,-90.064971999999997,
POINT (-90.103333720703 29.936898609091),1104111,NAP-2600-1184,10,Napoleon,2600,PS,U,10,29257,29.9368932,-90.103328099999999,
POINT (-90.072320612128 29.951697413337),1104555,UNI-800-1857,3,Union,800,PS,D,5,29403,29.951692000000001,-90.072315000000003,
POINT (-90.069788612271 29.949239212769),1104197,POY-600-1346,7,Poydras,600,SSM,U,1,29289,29.949233799999998,-90.069783000000001,
POINT (-90.077864914152 29.953505013779),1103928,LAS-400-3004,2,LaSalle,400,PS,R,4,29193,29.953499600000001,-90.0778593,
POINT (-90.070621912747 29.958944815261),1103428,BAS-400-0104,6,Basin,400,SSM,R,1,2920,29.958939399999998,-90.070616299999998,
POINT (-90.065849610886 29.942745511636),1104277,S.PET-900-1435,8,S. Peters,900,SSM,L,1,29320,29.942740100000002,-90.065843999999998,
POINT (-90.067170511233 29.953693714041),1103533,CHA-200-0354,6,Chartres,200,SSM,R,1,2968,29.9536883,-90.067164899999995,
POINT (-90.077502314094 29.954619414346),1103924,LAS-300-0823,2,LaSalle,300,PS,L,3,29192,29.954613999999999,-90.077496699999998,
POINT (-90.074493613257 29.951978413235),1104300,S.RAM-300-1592,3,S. Rampart,300,PS,R,6,29327,29.951972999999999,-90.074488000000002,
POINT (-90.073218213314 29.951996413608),1104556,UNI-900-1855,3,Union,900,PS,D,9,29404,29.951991,-90.073212600000005,
POINT (-90.072648413081 29.95145481365),1103413,BAR-300-0058,3,Baronne,300,SSM,R,1,2912,29.951449400000001,-90.072642799999997,
POINT (-90.073420412352 29.944438511902),1103525,CAR-900-0288,7,Carondelet,900,PS,R,4,2964,29.944433100000001,-90.073414799999995,
POINT (-90.062782610817 29.959349415603),1103752,DUM-600-0575,6,Dumaine,600,PS,D,8,29127,29.959344000000002,-90.062776999999997,
POINT (-90.065750610906 29.942746512095),1104279,S.PET-900-1484,8,S. Peters,900,SSM,R,1,29320,29.942741099999999,-90.065745000000007,
POINT (-90.064868610781 29.953941714264),1104056,N.PET-300-1127,6,N. Peters,300,SSM,L,1,29237,29.953936299999999,-90.064863000000003,
POINT (-90.065183310647 29.94595761246),1103792,GIR-200-0586,8,Girod,200,SSM,U,1,29144,29.945952200000001,-90.065177700000007,
POINT (-90.066118210989 29.953967014573),1103440,BIE-500-0095,6,Bienville,500,SSM,D,1,2924,29.9539616,-90.066112599999997,
POINT (-90.104769620534 29.937014408862),1104025,MGN-4500-1076,10,Magnolia,4500,PS,R,4,29230,29.937009,-90.104764000000003,
POINT (-90.060609909679 29.959278715693),1103688,DEC-1000-0545,6,Decatur,1000,SSM,L,1,29115,29.9592733,-90.060604299999994,
POINT (-90.065717211456 29.957363515238),1104523,TOU-700-1990,6,Toulouse,700,SSM,U,1,29394,29.9573581,-90.0657116,
POINT (-90.075259613605 29.945260412055),1103859,HOW-900-0715,7,Howard,900,PS,D,7,29171,29.945255,-90.075254000000001,
POINT (-90.07707611304 29.929491408785),1103965,MAG-2200-0955,10,Magazine,2200,PS,L,4,29214,29.929486000000001,-90.077070500000005,
POINT (-90.085022915428 29.92471760715),1103971,MAG-3000-0972,10,Magazine,3000,PS,R,6,29217,29.924712199999998,-90.085017300000004,
POINT (-90.075721513383 29.946803512027),1103875,JUL-1000-0774,7,Julia,1000,PS,U,6,29187,29.946798099999999,-90.075715900000006,
POINT (-90.129905628531 29.947305410254),1104229,S.CAR-1100-1394,10,S. Carrollton,1100,PS,U,6,29308,29.947299999999998,-90.129900000000006,
POINT (-90.077330313675 29.955914714546),1104537,TUL-1500-1811,5,Tulane,1500,PS,D,7,29398,29.955909299999998,-90.077324700000005,
POINT (-90.069641611656 29.952163413402),1103575,CMN-600-0425,3,Common,600,SSM,D,1,2988,29.952158000000001,-90.069636000000003,
POINT (-90.116546522837 29.921160205051),1104001,MAG-5500-0966,10,Magazine,5500,PS,R,6,29226,29.9211548,-90.116540900000004,
POINT (-90.07181151259 29.953654913824),1103406,BAR-100-0067,3,Baronne,100,PS,L,10,2910,29.953649500000001,-90.071805900000001,
POINT (-90.134657928871 29.944851310189),1103850,HAM-8200-0741,10,Hampson,8200,SSM,L,1,29168,29.944845900000001,-90.134652299999999,
POINT (-90.068006611817 29.961193415894),1104101,N.RAM-700-1137,6,N. Rampart,700,PS,L,4,29248,29.961188,-90.068000999999995,
POINT (-90.082573415279 29.95533331391),1104327,S.ROM-500-1628,1,S. Roman,500,SSM,R,1,29338,29.9553279,-90.082567800000007,
POINT (-90.068464611754 29.944489412354),1103673,CON-800-0460,8,Constance,800,PS,R,6,2994,29.944483999999999,-90.068459000000004,
POINT (-90.079837813737 29.934418209562),1104418,ST.CHA-2100-1814,9,St. Charles,2100,PS,R,5,29365,29.9344128,-90.079832199999998,
POINT (-90.072630212914 29.95187301331),1103410,BAR-300-0047,3,Baronne,300,SSM,L,1,2912,29.9518676,-90.072624599999997,
POINT (-90.092005616538 29.92820540804),1104429,ST.CHA-3400-1671,9,St. Charles,3400,PS,L,6,29367,29.9282,-90.091999999999999,
POINT (-90.069290111667 29.952856713544),1104377,ST.CHA-100-1575,3,St. Charles,100,PS,L,11,29348,29.952851299999999,-90.069284499999995,
POINT (-90.065156610593 29.942498611338),1103787,FUL-900-0572,8,Fulton,900,SSM,R,1,29142,29.942493200000001,-90.065151,
POINT (-90.06468971099 29.950428713471),1103612,CNL-300-0203,6,Canal,300,SSM,D,1,2942,29.950423300000001,-90.064684099999994,
POINT (-90.077905613014 29.935805410287),1104403,ST.CHA-1800-1802,9,St. Charles,1800,SSM,R,1,29362,29.9358,-90.0779,
POINT (-90.066698011145 29.944625212336),1103666,COM-800-0415,8,Commerce,800,SSM,L,1,2985,29.944619800000002,-90.066692399999994,
POINT (-90.066156410385 29.944634811817),1103886,JUL-300-0780,8,Julia,300,PS,U,6,29180,29.9446294,-90.066150800000003,
POINT (-90.082862515937 29.954377113477),1104343,S.ROM-600-1642,1,S. Roman,600,SSM,R,1,29339,29.954371699999999,-90.082856899999996,
POINT (-90.071517611945 29.942347411483),1103469,CAM-1000-0185,7,Camp,1000,PS,L,10,2941,29.942342,-90.071511999999998,
POINT (-90.067483611046 29.943326412228),1104444,ST.JOS-300-1703,8,St. Joseph,300,SSM,D,1,29370,29.943321000000001,-90.067477999999994,
POINT (-90.074190612704 29.952269413926),1104548,UNI-1000-2036,3,Union,1000,PS,U,4,29405,29.952264,-90.074185,
POINT (-90.068634311488 29.94518391253),1103893,JUL-400-0792,8,Julia,400,PS,U,4,29181,29.945178500000001,-90.068628700000005,
POINT (-90.068114311095 29.949287613146),1103987,MAG-400-0893,4,Magazine,400,SSM,L,1,29203,29.949282199999999,-90.068108699999996,
POINT (-90.06957751147 29.944332612284),1104010,MAG-800-0917,8,Magazine,800,PS,L,3,29207,29.9443272,-90.0695719,
POINT (-90.09974461911 29.920871406326),1103993,MAG-4200-0978,10,Magazine,4200,PS,R,8,29222,29.920866,-90.099739,
POINT (-90.063982910126 29.953634114062),1103650,CNT-300-0466,6,Conti,300,SSM,U,1,2997,29.953628699999999,-90.063977300000005,
POINT (-90.075484012352 29.930510608835),1103958,MAG-2000-0967,10,Magazine,2000,PS,L,9,29212,29.930505199999999,-90.075478399999994,
POINT (-90.080337614389 29.933646409088),1103868,JAC-1500-0758,9,Jackson,1500,SSM,U,0,29175,29.933641000000001,-90.080331999999999,
POINT (-90.073205612394 29.945105412493),1103524,CAR-800-0326,7,Carondelet,800,PS,R,7,2963,29.9451,-90.0732,
POINT (-90.063859110635 29.956717915125),1104557,WIL-500-0706,6,Wilkinson,500,PS,U,8,29407,29.956712499999998,-90.063853499999993,
POINT (-90.075630713862 29.95360631383),1103825,GRA-1200-0662,2,Gravier,1200,SSM,U,1,29160,29.953600900000001,-90.075625099999996,
POINT (-90.065963110416 29.947434513204),1104258,S.PET-500-1421,8,S. Peters,500,SSM,L,1,29316,29.947429100000001,-90.065957499999996,
POINT (-90.078938915017 29.953478214011),1104154,PER-1500-1285,2,Perdido,1500,PS,D,6,29277,29.9534728,-90.078933300000003,
POINT (-90.077011013274 29.936793809778),1104397,ST.CHA-1700-1792,9,St. Charles,1700,SSM,R,1,29361,29.936788400000001,-90.077005400000004,
POINT (-90.0729898125 29.951095913563),1104165,PER-900-1262,3,Perdido,900,SSM,U,1,29274,29.951090499999999,-90.072984199999993,
POINT (-90.070446311706 29.953342413742),1103500,CAR-100-0335,3,Carondelet,100,PS,L,8,2956,29.953337000000001,-90.070440700000006,
POINT (-90.064916611127 29.953016413708),1103435,BIE-300-0110,6,Bienville,300,SSM,D,1,2923,29.953011,-90.064910999999995,
POINT (-90.082314115861 29.957890014178),1104546,TUL-1900-2028,1,Tulane,1900,PS,U,9,29400,29.9578846,-90.082308499999996,
POINT (-90.074814113701 29.957291114892),1103598,CNL-1400-0255,5,Canal,1400,PS,D,6,2953,29.9572857,-90.074808500000003,
POINT (-90.067844610767 29.945098411832),1103891,JUL-400-0759,8,Julia,400,SSM,D,1,29181,29.945093,-90.067839000000006,
POINT (-90.081705615633 29.957605414423),1104544,TUL-1800-2022,1,Tulane,1800,SSM,U,1,29399,29.957599999999999,-90.081699999999998,
POINT (-90.087505615884 29.923605407326),1103981,MAG-3200-0989,10,Magazine,3200,PS,L,4,29219,29.9236,-90.087500000000006,
POINT (-90.082984215778 29.954366313651),1104335,S.ROM-600-1521,1,S. Roman,600,SSM,L,1,29339,29.954360900000001,-90.082978600000004,
POINT (-90.069273411718 29.953530014207),1103634,CNL-700-0233,6,Canal,700,SSM,D,1,2946,29.953524600000001,-90.069267800000006,
POINT (-90.134044628909 29.944646410144),1103743,DUB-700-0569,10,Dublin E,700,PS,D,7,29125,29.944641000000001,-90.134039000000001,
POINT (-90.062562210034 29.958822515392),1103550,CHA-800-0396,6,Chartres,800,SSM,R,1,2973,29.958817100000001,-90.062556599999994,
POINT (-90.06575161095 29.943409712091),1104274,S.PET-800-1464,8,S. Peters,800,PS,R,5,29319,29.943404300000001,-90.065746000000004,
POINT (-90.070612311946 29.947720812651),1104246,S.MAE-600-1452,7,S. Maestri,600,PS,R,10,29315,29.9477154,-90.070606699999999,
POINT (-90.067605311391 29.941451111177),1104170,POE-300-1303,8,Poeyfarre,300,SSM,D,1,29283,29.941445699999999,-90.067599700000002,
POINT (-90.116614623155 29.921087405347),1104002,MAG-5500-0975,10,Magazine,5500,PS,L,7,29226,29.921081999999998,-90.116608999999997,
POINT (-90.071570112278 29.957170514513),1104087,N.RAM-200-1163,6,N. Rampart,200,SSM,L,1,29243,29.957165100000001,-90.071564499999994,
POINT (-90.071108712597 29.951336713108),1104550,UNI-700-1847,3,Union,700,SSM,D,1,29402,29.9513313,-90.071103100000002,
POINT (-90.06858241158 29.944110911897),1103674,CON-800-0462,8,Constance,800,PS,R,7,2994,29.944105499999999,-90.068576800000002,
POINT (-90.078182313779 29.95319271329),1104153,PER-1500-1283,2,Perdido,1500,PS,D,5,29277,29.9531873,-90.0781767,
POINT (-90.064865210285 29.953945714445),1104057,N.PET-300-1129,6,N. Peters,300,SSM,L,1,29237,29.953940299999999,-90.064859600000005,
POINT (-90.070679212497 29.951706613752),1103841,GRA-700-0710,3,Gravier,700,PS,U,5,29155,29.951701199999999,-90.070673600000006,
POINT (-90.063676210259 29.959275315306),1104225,ROY-800-1383,6,Royal,800,PS,L,11,29303,29.959269899999999,-90.063670599999995,
POINT (-90.07681281393 29.95263881396),1104148,PER-1300-1289,2,Perdido,1300,PS,D,7,29275,29.9526334,-90.076807200000005,
POINT (-90.067684011223 29.95034941303),1103973,MAG-300-0922,4,Magazine,300,SSM,R,1,29202,29.950344000000001,-90.067678400000005,
POINT (-90.069950311664 29.947184412708),1103483,CAM-600-0172,7,Camp,600,SSM,R,1,2937,29.947178999999998,-90.069944699999994,
POINT (-90.074993913363 29.947686612906),1104138,OKE-700-1234,7,O'Keefe,700,PS,R,4,29269,29.947681200000002,-90.074988300000001,
POINT (-90.070665612251 29.947043912668),1103555,CHU-700-0402,7,Church,700,SSM,R,1,2976,29.947038500000001,-90.070660000000004,
POINT (-90.074216612381 29.941083411271),1104380,ST.CHA-1200-1601,9,St. Charles,1200,PS,L,2,29356,29.941078000000001,-90.074211000000005,
POINT (-90.073302312203 29.945249912097),1103523,CAR-800-0317,7,Carondelet,800,SSM,L,1,2963,29.945244500000001,-90.0732967,
POINT (-90.072106911854 29.945967112235),1103902,JUL-700-0824,7,Julia,700,PS,U,5,29184,29.945961700000002,-90.0721013,
POINT (-90.066646811166 29.944512312442),1103669,COM-800-0452,8,Commerce,800,SSM,R,1,2985,29.9445069,-90.066641200000007,
POINT (-90.056750509364 29.9626403164),1103703,DEC-2100-0555,6,Decatur,2100,SSM,L,1,29119,29.962634900000001,-90.056744899999998,
POINT (-90.064307610898 29.953992414607),1103648,CNT-300-0461,6,Conti,300,PS,D,4,2997,29.953987000000001,-90.064301999999998,
POINT (-90.102506620478 29.937195409713),1104021,MGN-4300-1043,10,Magnolia,4300,PS,L,10,29228,29.937190000000001,-90.102501000000004,
POINT (-90.060733609987 29.95881621542),1104064,N.PET-900-1106,6,N. Peters,900,SSM,R,1,29238,29.958810799999998,-90.060727999999997,
POINT (-90.084029516213 29.957076414622),1104282,S.PRI-500-1510,1,S. Prieur,500,SSM,R,1,29324,29.957070999999999,-90.084023900000005,
POINT (-90.065779410553 29.953520514399),1103699,DEC-200-0503,6,Decatur,200,SSM,L,1,29108,29.953515100000001,-90.065773800000002,
POINT (-90.094705617499 29.925705407526),1104217,PRY-3700-1386,9,Prytania,3700,SSM,R,1,29301,29.925699999999999,-90.094700000000003,
POINT (-90.082590815884 29.95526351432),1104328,S.ROM-500-1630,1,S. Roman,500,SSM,R,1,29338,29.955258100000002,-90.082585199999997,
POINT (-90.089462616282 29.922848506531),1103984,MAG-3400-4007,10,Magazine,3400,PS,L,10,29409,29.922843100000001,-90.089456999999996,
POINT (-90.068002511445 29.949339212881),1103988,MAG-400-0928,4,Magazine,400,SSM,R,1,29203,29.949333800000002,-90.067996899999997,
POINT (-90.115651323526 29.920927505374),1104000,MAG-5400-1044,10,Magazine,5400,PS,R,6,29225,29.920922099999999,-90.115645700000002,
POINT (-90.066399910744 29.946306212777),1103799,GIR-300-0661,8,Girod,300,SSM,D,1,29145,29.946300799999999,-90.066394299999999,
POINT (-90.070992612059 29.943953411469),1103491,CAM-900-0179,7,Camp,900,SSM,L,1,2940,29.943947999999999,-90.070987000000002,
POINT (-90.077267614621 29.956576413998),1104363,S.VIL-200-1666,5,S. Villere,200,PS,R,6,29341,29.956571,-90.077262000000005,
POINT (-90.0752049135 29.946693212776),1103914,JUL-900-0854,7,Julia,900,SSM,U,1,29186,29.946687799999999,-90.075199299999994,
POINT (-90.078463314092 29.935750710258),1104407,ST.CHA-1900-1657,9,St. Charles,1900,SSM,L,1,29363,29.935745300000001,-90.078457700000001,
POINT (-90.067951311592 29.952238414092),1103621,CNL-500-0208,4,Canal,500,SSM,U,1,2944,29.952233,-90.067945699999996,
POINT (-90.066253010539 29.95297631424),1103698,DEC-200-0501,6,Decatur,200,SSM,L,1,29108,29.9529709,-90.066247399999995,
POINT (-90.065069610049 29.942808411388),1104438,ST.JOS-200-1691,8,St. Joseph,200,SSM,D,1,29369,29.942803000000001,-90.065064000000007,
POINT (-90.082937816031 29.954162914072),1104349,S.ROM-600-1654,1,S. Roman,600,SSM,R,1,29339,29.954157500000001,-90.082932200000002,
POINT (-90.067950211463 29.95291021367),1103527,CHA-100-0341,6,Chartres,100,SSM,L,1,2967,29.952904799999999,-90.067944600000004,
POINT (-90.075673913728 29.953618914031),1103826,GRA-1200-0664,2,Gravier,1200,SSM,U,1,29160,29.953613499999999,-90.075668300000004,
POINT (-90.065166510207 29.942660511777),1103785,FUL-900-0568,8,Fulton,900,SSM,R,1,29142,29.9426551,-90.065160899999995,
POINT (-90.080350114473 29.952718813466),1104186,POY-1600-1339,2,Poydras,1600,PS,D,5,29298,29.9527134,-90.080344499999995,
POINT (-90.076701613746 29.95730641447),1104360,S.VIL-100-1537,5,S. Villere,100,PS,D,6,29340,29.957301000000001,-90.076695999999998,
POINT (-90.103460620564 29.937863409389),1104112,NAP-2700-1186,10,Napoleon,2700,PS,U,8,29258,29.937857999999999,-90.103454999999997,
POINT (-90.063924010264 29.95331071398),1104035,N.FRO-300-1093,6,N. Front,300,SSM,L,1,29234,29.9533053,-90.063918400000006,
POINT (-90.068475611209 29.946790413015),1103803,GIR-400-0669,8,Girod,400,PS,D,3,29146,29.946784999999998,-90.068470000000005,
POINT (-90.065671609877 29.939677410817),1104251,S.PET-1100-1445,8,S. Peters,1100,PS,L,9,29322,29.939672000000002,-90.065665999999993,
POINT (-90.067526011168 29.945418112424),1104513,TCH-700-1771,8,Tchoupitoulas,700,PS,L,3,29391,29.945412699999999,-90.067520400000006,
POINT (-90.057717409343 29.96344411617),1103775,FRE-500-0633,6,Frenchmen,500,SSM,D,1,29137,29.963438700000001,-90.057711800000007,
POINT (-90.068660811692 29.947008412485),1104003,MAG-600-0906,8,Magazine,600,PS,R,5,29205,29.947002999999999,-90.068655199999995,
POINT (-90.069520712568 29.956237514833),1103445,BIE-900-0105,6,Bienville,900,SSM,D,1,2925,29.956232100000001,-90.069515100000004,
POINT (-90.073024813146 29.952624113516),1103843,GRA-900-0712,3,Gravier,900,PS,U,9,29157,29.952618699999999,-90.073019200000005,
POINT (-90.061600909497 29.958537415527),1103744,DUM-500-0579,6,Dumaine,500,SSM,D,1,29126,29.958532000000002,-90.061595299999993,
POINT (-90.069101512115 29.950463613551),1103474,CAM-300-0153,4,Camp,300,PS,L,4,2934,29.9504582,-90.069095899999994,
