the_geom,OBJECTID,Name,Segment,Type,Address
POINT (-90.106363599192 29.942692323497),1400,MIRALDA'S RENOVATIONS,Preservation Businesses,Restoration,4606 S PRIEUR  ST
POINT (-90.094418241357 29.921263319774),1364,MMR INTERIOR,Preservation Businesses,Interior Designers,3806 MAGAZINE  ST
POINT (-90.09025162289 29.972770891173),1382,MBM CUSTOM MILLWORKS,Preservation Businesses,Millworks,3305 LAFITTE  ST
POINT (-90.073654297486 29.94874736697),1317,JC PATIN GROUP,Preservation Businesses,Architecture,601 BARONNE  ST
POINT (-90.09121263497 29.921973612839),1316,"JAHNCKE & BURNS ARCHITECTS, LLC",Preservation Businesses,Architecture,3516 MAGAZINE  ST
POINT (-90.076251012763 29.921374019904),1407,THE DURABLE SLATE CO,Preservation Businesses,Restoration,2533 TCHOUPITOULAS  ST
POINT (-90.108389326184 29.955698628924),1347,ALANE DESIGN,Preservation Businesses,Interior Designers,4224 VINCENNES  PL
POINT (-90.057434463821 29.967278450533),1404,"PORTICO CONSTRUCTION, INC",Preservation Businesses,Restoration,2120 N RAMPART  ST
POINT (-90.048509061771 29.953406750559),1395,J & W SERVICES,Preservation Businesses,Restoration,714 PELICAN  AVE
POINT (-90.089411469585 29.975690147118),1383,ABRY BROTHERS INC,Preservation Businesses,Restoration,3319 ORLEANS  AVE
POINT (-90.109396358405 29.928294231954),1372,SUSAN TAYLOR INTERIORS,Preservation Businesses,Interior Designers,1663 SONIAT  ST
POINT (-90.065335437489 29.954819753993),1338,BEVOLO GAS & ELECTRIC,Preservation Businesses,Gas Lighting,521 CONTI  ST
POINT (-90.050727179329 29.967698223818),1337,BYWATER WOODWORK INC,Preservation Businesses,Carpentry,936 FRANKLIN  AVE
POINT (-90.117377940867 29.918999033392),1302,ANA M BATISTA BORDEN ARCHITECT,Preservation Businesses,Architecture,525 JOSEPH  ST
POINT (-90.073712790814 29.941132429152),1328,W S NELSON & CO,Preservation Businesses,Architecture,1200 ST CHARLES  AVE
POINT (-90.096471621396 29.964656903616),1301,ALBERT ARCHITECTURE & URBAN DESIGN  AP LLC,Preservation Businesses,Architecture,3221 TULANE  AVE
POINT (-90.078588615665 29.952166866114),1300,AIM PARTNERS PLC,Preservation Businesses,Architecture,1515 POYDRAS  ST
POINT (-90.131683641009 29.928054613692),1371,SUSAN CURRIE DESIGN,Preservation Businesses,Interior Designers,233 WALNUT  ST
POINT (-90.106676373866 29.954633211004),1351,"CURTIS HERRING, ASID",Preservation Businesses,Interior Designers,1639 S JEFFERSON DAVIS  PKWY
POINT (-89.984628552346 30.024175759489),1392,Elegant Hardwood Floors of New Orleans,Preservation Businesses,Restoration,4943 ARTHUR  DR
POINT (-90.100891097048 30.020187556843),1379,MATTHEW PONSETTI LANDSCAPING,Preservation Businesses,Landscape Architecture,921 EMERALD  ST
POINT (-90.070324103554 29.94930889679),1321,"MANNING ARCHITECTS, APAC",Preservation Businesses,Architecture,650 POYDRAS  ST
POINT (-90.079662374168 29.932861451895),1329,WAGGONNER AND BALL ARCHITECTS,Preservation Businesses,Architecture,2200 PRYTANIA  ST
POINT (-90.104599227076 29.970477156358),1330,WARING ARCHITECTS,Preservation Businesses,Architecture,4300 S CARROLLTON  AVE
POINT (-90.077609336382 29.928661970875),1361,"MARIAN DEMEYERS DESIGNS, LLC",Preservation Businesses,Interior Designers,1030 PHILIP  ST
POINT (-90.069951008379 29.957160180648),1324,PEREZ,Preservation Businesses,Architecture,317 BURGUNDY  ST
POINT (-90.097981275332 29.976157000904),1326,VERGES ROME ARCHITECTS,Preservation Businesses,Architecture,320 N CARROLLTON  AVE
POINT (-90.060273437552 29.962921213985),1362,MATILDA STREAM                INTERIORS INC,Preservation Businesses,Interior Designers,1330 ROYAL  ST
POINT (-90.130045694719 29.942454676783),1381,"SPACKMAN, MOSSOP+MICHAELS LANDSCAPE ARCHITECTURE",Preservation Businesses,Landscape Architecture,7735 MAPLE  ST
POINT (-90.038527955125 29.951905509733),1384,AJ'S HOME MODIFICATION & REPAIR,Preservation Businesses,Restoration,337 HENDEE  ST
POINT (-90.065901520523 29.942028483596),1334,YEATES AND YEATES ARCHITECTS,Preservation Businesses,Architecture,929 S PETERS  ST
POINT (-90.09599196144 29.917357158089),1389,CRANE BUILDERS,Preservation Businesses,Restoration,3970 TCHOUPITOULAS  ST
POINT (-90.046081118438 30.001360659319),1303,AUGUSTINE DESIGNS,Preservation Businesses,Architecture,2769 JASMINE  ST
POINT (-90.091443346416 29.922074975178),1369,SHADES OF BLUE,Preservation Businesses,Interior Designers,3530 MAGAZINE  ST
POINT (-90.102129423963 29.959897201701),1333,WOODWARD DESIGN AND BUILD,Preservation Businesses,Architecture,1000 S JEFFERSON DAVIS  PKWY
POINT (-90.096080778265 29.977950451444),1363,MELANCON ORTEGA DESIGNS,Preservation Businesses,Interior Designers,4005 TOULOUSE  ST
POINT (-90.078698101319 29.940751856563),1386,BESS RENOVATION AND DEVELOPMENT,Preservation Businesses,Restoration,1828 MARTIN LUTHER KING  BLVD
POINT (-90.103753172948 29.920880810918),1340,ACCESSORIES IN BRASS,Preservation Businesses,Interior Design Retail,4537 MAGAZINE  ST
POINT (-90.072400957546 29.938598866475),1344,TARA VON BURNUM SHAW,Preservation Businesses,Interior Design Retail,1240 CAMP  ST
POINT (-90.065749560571 29.9532014334),1397,JACK'S METAL ARTS,Preservation Businesses,Restoration,226 DECATUR  ST
POINT (-90.101224752139 29.979765704745),1408,MASONRY PRODUCTS  SALES,Preservation Businesses,Salvaged Building Elements,410 N ALEXANDER  ST
POINT (-90.134198690895 29.950766656069),1352,DUNLEITH DESIGNS LLC,Preservation Businesses,Interior Designers,8600 OAK  ST
POINT (-90.093872606464 29.976488376228),1374,WES ULMO INTERIOR DESIGN,Preservation Businesses,Interior Designers,602 N CORTEZ  ST
POINT (-90.1093156703 29.932951265476),1394,GO MANGO LLC,Preservation Businesses,Restoration,2037 SONIAT  ST
POINT (-90.071774068685 29.946149327493),1308,BLITCH KNEVEL ARCHITECTS INC,Preservation Businesses,Architecture,757 ST CHARLES  AVE
POINT (-90.100014766432 29.977196157474),1312,DUPLANTIER MERIC ARCHITECTS,Preservation Businesses,Architecture,4141 BIENVILLE  ST
POINT (-90.06444206165 29.958189370805),1346,FAULKNER HOUSE DESIGNS,Preservation Businesses,Interior Designers,632 PIRATES  ALY
POINT (-90.070750627741 29.956924037429),1350,C SPENCER SMITH AIA LLC,Preservation Businesses,Interior Designers,1018 BIENVILLE  ST
POINT (-90.106143813795 29.928991674359),1376,"DANA BROWN & ASSOCIATES, INC",Preservation Businesses,Landscape Architecture,1836 VALENCE  ST
POINT (-90.064512930934 29.954252155008),1304,BARRON AND TOUPS,Preservation Businesses,Architecture,400 N PETERS  ST
POINT (-90.088968958832 29.921711194756),1311,CCWIV ARCHITECTURE SERVICE,Preservation Businesses,Architecture,3420 CONSTANCE  ST
POINT (-90.052609724685 29.968751441247),1378,FUTURE PROOF,Preservation Businesses,Landscape Architecture,2374 ST CLAUDE  AVE
POINT (-90.067878335368 29.94874876483),1366,MONTGOMERY ROTH ARCH & INTERIOR DESIGN,Preservation Businesses,Interior Designers,400 POYDRAS  ST
POINT (-90.110197209953 29.992087846759),1390,DECRO DEVELOPMENT,Preservation Businesses,Restoration,619 HOMEDALE  ST
POINT (-90.078588615665 29.952166866114),1314,HMS ARCHITECTS,Preservation Businesses,Architecture,1515 POYDRAS  ST
POINT (-90.096281625883 29.921458980614),1349,BREMERMANN DESIGNS,Preservation Businesses,Interior Designers,3943 MAGAZINE  ST
POINT (-90.072547771252 29.952361268036),1393,G & H RESTORATION LLC,Preservation Businesses,Restoration,305 BARONNE  ST
POINT (-90.134149845964 29.949362379601),1327,VOLUME ZERO,Preservation Businesses,Architecture,1034 JOLIET  ST
POINT (-90.107774816555 29.920088013813),1355,GRACI INTERIORS LLC,Preservation Businesses,Interior Designers,4858 MAGAZINE  ST
POINT (-90.099561992257 29.979230964717),1405,RICCA'S ARCHITECTURAL SALES,Preservation Businesses,Restoration,511 N SOLOMON  ST
POINT (-90.094997059678 29.920392592984),1377,FOUR SEASONS LANDSCAPE INC,Preservation Businesses,Landscape Architecture,3901 CONSTANCE  ST
POINT (-90.123410533855 29.921932378874),1370,SHAWN M O'BRIEN DESIGNS,Preservation Businesses,Interior Designers,701 WEBSTER  ST
