Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
3162 N Villere St,3162 N Villere St,Accessory STR,2,4,04/23/2020 12:00:00 AM,"(29.9701438895875, -90.0418065392737)",3689756.47766,536939.40596
1705 Pauger St,1705 Pauger St,Accessory STR,2,4,05/30/2020 11:59:59 PM,"(29.9675650738062, -90.0602399594681)",3683930.75,535936.34
1201 Baronne St Unit 2,1201 Baronne St Unit 2,Commercial STR,,,08/12/2019 07:38:25 PM,"(29.9427765522164, -90.0766407042231)",3678836.88,526864.99
2017 S Saratoga St,2017 S Saratoga St,Accessory STR,2,4,01/14/2020 11:59:59 PM,"(29.9393130565785, -90.0827899271144)",3676903.2,525584.23
900 Bartholomew St Unit 414,900 Bartholomew St Unit 414,Commercial STR,1,2,06/06/2020 11:59:59 PM,"(29.9636748939548, -90.036285159632)",3691531.21,534606.79
5880 Lexington Circle,5880 Lexington Circle,Commercial STR,2,4,01/28/2020 11:59:59 PM,"(29.9510254755423, -90.0712969784076)",3680496.17,529883.2
2422 Lapeyrouse St,2422 Lapeyrouse St,Accessory STR,2,4,04/29/2020 11:59:59 PM,"(29.9777259823258, -90.0732641094072)",3679766.47,539585.65
9022 Heaton St,9022 Heaton St,Accessory STR,2,4,02/04/2020 11:59:59 PM,"(29.9756750126798, -90.1142194404908)",3666808.6,538699.57
3423 Royal Street,3423 Royal Street,Accessory STR,1,2,07/15/2020 11:59:59 PM,"(29.9626694908902, -90.041089940289)",3690014.01,534224
1505 N Prieur St,1505 N Prieur St,Accessory STR,2,4,03/05/2020 11:59:59 PM,"(29.9730869494096, -90.0699083439927)",3680847.45,537910.42
7703 Cohn St,7703 Cohn St,Accessory STR,1,2,06/27/2020 11:59:59 PM,"(29.9497790486556, -90.12117919428)",3664704.82,529259.41
934 Philip,934 Philip,Accessory STR,3,6,07/25/2020 11:59:59 PM,"(29.9279192571855, -90.0770725804928)",3678759.34,521460.84
731 Jackson Ave Unit B,731 Jackson Ave Unit B,Commercial STR,2,4,08/06/2020 11:59:59 PM,"(29.9270406901008, -90.0743403539991)",3679628.26,521150.86
2228 Gravier St Apt 303,2228 Gravier St Apt 303,Commercial STR,,,06/12/2020 11:59:59 PM,"(29.9582638886605, -90.0867880594227)",3675562,532461.66
1515 Pauger St,1515 Pauger St,Accessory STR,2,4,08/04/2020 11:59:59 PM,"(29.9657238665585, -90.06002354586)",3684006.71,535267.57
347 Audubon St,347 Audubon St,Accessory STR,3,6,01/22/2020 11:59:59 PM,"(29.9309967291205, -90.1304475034719)",3661841.49,522398.51
1930 Robert St,1930 Robert St,Accessory STR,2,4,05/07/2020 11:59:59 PM,"(29.9318117174056, -90.1088312385302)",3668684.91,522767.39
1902 Bodenger Blvd,1902 Bodenger Blvd,Accessory STR,2,4,01/08/2020 11:59:59 PM,"(29.9371185791895, -90.046149984749)",3688516.22,524914.74
925 Common St Unit 1016,925 Common St Unit 1016,Commercial STR,,,03/19/2020 11:59:59 PM,"(29.9539437716964, -90.0723582841163)",3680148.41,530940.7
4810 Major Dr,4810 Major Dr,Temporary STR,3,6,04/01/2020 11:59:59 PM,"(30.0253044357485, -89.9514653391956)",3718117.06,557331.37
701 Marengo St,701 Marengo St,Accessory STR,2,4,04/18/2020 12:45:08 PM,"(29.9191576737126, -90.0976022581313)",3672291.09,518204.1
2602 Octavia Street #,2602 Octavia Street #,Accessory STR,3,6,04/09/2020 11:59:59 PM,"(29.9382148363366, -90.111668811234)",3667761.34,525086.21
1515 Calliope St Apt 201,1515 Calliope St Apt 201,Commercial STR,3,6,04/30/2020 08:23:48 AM,"(29.9419764244078, -90.0721987635709)",3680246.82,526589.49
123 E. Sprague,123 E. Sprague,Commercial STR,2,4,06/07/2020 11:59:59 PM,"(29.9518573913115, -90.0715163836822)",3680423.36,530184.95
711 S Peters St Apt 207,711 S Peters St Apt 207,Commercial STR,2,4,07/29/2020 11:59:59 PM,"(29.9458733359633, -90.0661135998594)",3682158.3,528027.81
3320 Banks St,3320 Banks St,Accessory STR,2,4,03/12/2020 11:59:59 PM,"(29.9668341638154, -90.095854888349)",3672657.37,535547.02
2163 Sumpter St,2163 Sumpter St,Temporary STR,3,6,06/05/2020 11:59:59 PM,"(30.0051272005873, -90.0604459348106)",3683713.8,549594.64
10211 Seawood St,10211 Seawood St,Temporary STR,3,6,03/05/2020 11:59:59 PM,"(30.0259437759241, -89.967243541256)",3713121.61,557503.99
4029 N Claiborne Ave,4029 N Claiborne Ave,Accessory STR,1,2,03/12/2020 11:59:59 PM,"(29.9706386046342, -90.0331048400418)",3692509.45,537150.46
3726 Bienville Ave,3726 Bienville Ave,Commercial STR,3,6,06/23/2020 11:59:59 PM,"(29.973811770357, -90.0960704546651)",3672561.72,538083.61
"1533 Robert C Blakes, SR Dr","1533 Robert C Blakes, SR Dr",Commercial STR,3,6,04/09/2020 11:59:59 PM,"(29.9392094509954, -90.0773525831007)",3678625.65,525565.39
734 Union St Unit 200,734 Union St Unit 200,Commercial STR,2,4,05/25/2020 11:59:59 PM,"(29.9512349821126, -90.0711347921804)",3680546.69,529959.95
855 Baronne St Unit 5B,855 Baronne St Unit 5B,Commercial STR,3,6,12/25/2019 11:59:59 PM,"(29.9451831559613, -90.074702124636)",3679441.20463,527746.85754
3409 Royal St,3409 Royal St,Accessory STR,1,2,07/15/2020 11:59:59 PM,"(29.9626543301979, -90.0413635785886)",3689927.43,534217.51
8602 Palmetto St,8602 Palmetto St,Accessory STR,1,2,01/01/2020 11:59:59 PM,"(29.969142062372, -90.1145600368662)",3666726.0386,536322.78522
502 Frenchmen St Apt B,502 Frenchmen St Apt B,Commercial STR,3,6,10/29/2019 11:59:59 PM,"(29.9626147168942, -90.0579100469138)",3684688.47298,534144.41069
547 JEFFERSON AVE,547 JEFFERSON AVE,Accessory STR,1,2,01/24/2020 10:30:17 AM,"(29.9174590075087, -90.1157415331574)",3666551.67,517524.89
5016 Freret St Apt B Apt B,5016 Freret St Apt B Apt B,Commercial STR,,,05/30/2020 11:59:59 PM,"(29.9348662489983, -90.108908436216)",3668648.59,523877.87
"2621 Martin Luther King, Jr Blvd","2621 Martin Luther King, Jr Blvd",Accessory STR,3,6,04/03/2020 11:59:59 PM,"(29.9449218586373, -90.0854506562644)",3676038.32,527614.61
2323 Aubry St,2323 Aubry St,Commercial STR,4,8,04/10/2020 11:59:59 PM,"(29.9797210936717, -90.0701452851437)",3680745.84,540322.02
446 Elmira Ave,446 Elmira Ave,Accessory STR,1,2,05/21/2020 11:59:59 PM,"(29.950954804257, -90.0467525413839)",3688268.89,529943.94
4625 Tchoupitoulas St,4625 Tchoupitoulas St,Commercial STR,2,4,01/07/2020 11:59:59 PM,"(29.9170037319572, -90.1041586594262)",3670222.62,517398.51
734 Union St Unit 201,734 Union St Unit 201,Commercial STR,2,4,05/25/2020 11:59:59 PM,"(29.9512218340525, -90.0710771375922)",3680565,529955.37
3121 Maurepas St,3121 Maurepas St,Accessory STR,3,6,12/26/2019 11:59:59 PM,"(29.9811134098218, -90.0837197248812)",3676442.96,540781.2
1022 Race St Apt 2,1022 Race St Apt 2,Commercial STR,2,4,05/12/2020 11:59:59 PM,"(29.9341522454998, -90.0718676663645)",3680383,523745.49
8402 Pritchard Pl,8402 Pritchard Pl,Accessory STR,2,4,03/18/2020 11:59:59 PM,"(29.9617707878216, -90.1194967229073)",3665191.42,533625.71
1201 Baronne St Unit 5,1201 Baronne St Unit 5,Commercial STR,1,2,08/12/2020 07:37:52 PM,"(29.9426828362743, -90.0765605126641)",3678862.65,526831.19
2317 N Rampart St Unit C,2317 N Rampart St Unit C,Commercial STR,3,6,03/04/2020 11:18:24 AM,"(29.96783123007, -90.0549448575879)",3685606.18,536051.79
1123 Congress St,1123 Congress St,Accessory STR,1,2,03/11/2020 11:59:59 PM,"(29.9671070728901, -90.0384842028229)",3690820.83,535846.98
628 Baronne St,628 Baronne St,Commercial STR,2,4,10/16/2019 11:59:59 PM,"(29.948252746739, -90.0735168659609)",3679804.28789,528867.19814
808 Baronne St,808 Baronne St,Commercial STR,5,10,08/25/2020 11:59:59 PM,"(29.9461707962985, -90.0741042398622)",3679626.6,528108.08
1041 Constance St. Apt 101,1041 Constance St. Apt 101,Commercial STR,2,4,05/01/2020 11:59:59 PM,"(29.9415480206036, -90.0695325802105)",3681092.91,526443.01
2426 Aubry St,2426 Aubry St,Accessory STR,3,6,01/16/2020 11:59:59 PM,"(29.9801613444207, -90.0711720701746)",3680419.02,540478.53
2718 Odin St,2718 Odin St,Temporary STR,,,06/10/2020 11:59:59 PM,"(30.0150310302446, -90.048420296551)",3687479.48,553238.54
1428 Monroe St,1428 Monroe St,Accessory STR,1,2,12/21/2019 11:59:59 PM,"(29.9533892248192, -90.1328745636895)",3660987.45,530533.22
6202 S Rocheblave St,6202 S Rocheblave St,Accessory STR,2,4,01/28/2020 09:24:56 AM,"(29.9478831245924, -90.1121026761763)",3667586.46,528600.5
1138 Eighth St,1138 Eighth St,Accessory STR,1,2,05/15/2020 11:59:59 PM,"(29.9252328837815, -90.0861322724766)",3675900.39,520452.63
429 Belleville St,429 Belleville St,Accessory STR,2,4,08/26/2020 11:59:59 PM,"(29.9514056057566, -90.048150415241)",3687824.39,530102.9
2200 Oretha Castle Haley Blvd APT 7,2200 Oretha Castle Haley Blvd APT 7,Commercial STR,1,2,03/05/2020 11:59:59 PM,"(29.9366846634601, -90.0831979960922)",3676784.39,524627.04
1809 Elysian Fields Ave,1809 Elysian Fields Ave,Commercial STR,3,6,02/27/2020 01:58:11 PM,"(29.9759290772116, -90.0569335482754)",3684943.73,538989.45
711 Tchoupitoulas St Unit 204,711 Tchoupitoulas St Unit 204,Accessory STR,1,2,04/13/2020 11:59:59 PM,"(29.9461397688644, -90.0675662443521)",3681697.2,528119.61
800 St. Charles Unit 201,800 St. Charles Unit 201,Commercial STR,2,4,07/13/2020 11:59:59 PM,"(29.9457478440502, -90.0715922799887)",3680423.79,527963.03
2477 Royal St,2477 Royal St,Accessory STR,3,6,04/12/2020 12:00:00 AM,"(29.9650532524719, -90.0520647777364)",3686529.35,535051.8
1220 Pauline St,1220 Pauline St,Accessory STR,1,2,04/08/2020 11:59:59 PM,"(29.9675299023645, -90.0369077519964)",3691318.22,536006.38
611 Julia St Unit C,611 Julia St Unit C,Commercial STR,1,2,06/19/2020 11:59:59 PM,"(29.9458569384674, -90.0708643099715)",3680653.89,528005.24
1734 Henriette Delille St Apt E,1734 Henriette Delille St Apt E,Commercial STR,1,2,03/31/2020 11:59:59 PM,"(29.9680855317698, -90.0624785463982)",3683219.88,536117.73
1039 Constance St Unit 7,1039 Constance St Unit 7,Commercial STR,2,4,10/17/2019 11:59:59 PM,"(29.9417000436767, -90.0694329729966)",3681123.84565,526498.63904
7735 Maple St,7735 Maple St,Commercial STR,1,2,10/24/2019 11:59:59 PM,"(29.9424492666279, -90.1300400661556)",3661926.80525,526564.44352
3205 Conti St,3205 Conti St,Commercial STR,,,02/14/2020 11:59:59 PM,"(29.9714255456356, -90.0898195221318)",3674550.16,537237.31
631 Henry Clay Ave,631 Henry Clay Ave,Accessory STR,3,6,06/12/2020 11:59:59 PM,"(29.9220907893727, -90.1247219597451)",3663689.12,519179.06
839 Jackson Ave Apt A,839 Jackson Ave Apt A,Commercial STR,2,4,02/26/2020 11:59:59 PM,"(29.9280053716934, -90.0751631885436)",3679363.78,521498.79
1812 N Claiborne Ave,1812 N Claiborne Ave,Commercial STR,4,8,01/09/2020 11:59:59 PM,"(29.9728182089024, -90.0615045453707)",3683509.16,537842.13
628 Baronne St Unit 202,628 Baronne St Unit 202,Commercial STR,2,4,11/19/2019 08:48:12 AM,"(29.9482605326321, -90.0734524423961)",3679824.65822,528870.25369
1416 Carondelet St Unit D,1416 Carondelet St Unit D,Commercial STR,2,4,07/18/2019 11:59:59 PM,"(29.9400201640082, -90.0762972056737)",3678956.66,525863.86
8324 Pritchard Pl,8324 Pritchard Pl,Accessory STR,1,2,01/27/2020 11:59:59 PM,"(29.9614057234791, -90.119049131863)",3665334.55,533494.46
1627 N Johnson St,1627 N Johnson St,Accessory STR,2,4,11/29/2019 09:20:58 AM,"(29.9757459784773, -90.0690214154501)",3681117.58088,538880.44091
22 Fontainebleau Dr Apt. B,22 Fontainebleau Dr Apt. B,Accessory STR,3,6,04/03/2020 11:59:59 PM,"(29.9561760913857, -90.1175787624172)",3665820.3,531597.7
4318 Macarthur Boulevard,4318 Macarthur Boulevard,Temporary STR,4,8,04/22/2020 03:24:15 AM,"(29.9245925436495, -90.0110564141323)",3699683.3,520486.41
4724 Banks St,4724 Banks St,Accessory STR,1,2,04/15/2020 11:59:59 PM,"(29.9763122116547, -90.1098603033395)",3668186.19,538945.99
1215 St Anthony St,1215 St Anthony St,Commercial STR,4,8,02/10/2020 11:59:59 PM,"(29.9686266492305, -90.0614140813308)",3683554.72,536318.24
339 Carondelet St Apt 2A,339 Carondelet St Apt 2A,Commercial STR,1,2,08/02/2020 11:59:59 PM,"(29.9510567616476, -90.0716544969658)",3680382.83,529893.33
703 Carondelet St 207,703 Carondelet St 207,Commercial STR,1,2,02/26/2020 01:44:39 PM,"(29.9475491705617, -90.0728484319256)",3680018.78,528613.68
1458 Harrison Ave,1458 Harrison Ave,Temporary STR,2,4,01/29/2020 11:59:59 PM,"(29.999774998936, -90.0769894736624)",3678499.17,547590.58
931 N Claiborne Ave,931 N Claiborne Ave,Commercial STR,3,6,02/22/2020 02:40:39 PM,"(29.9663494641453, -90.0718739028053)",3680252.13,535453.56
4450 Kennon Ave,4450 Kennon Ave,Temporary STR,3,6,01/29/2020 11:59:59 PM,"(30.0032724234526, -90.0805106001052)",3677370.78,548850.18
625 Valmont St,625 Valmont St,Accessory STR,1,2,04/01/2020 11:59:59 PM,"(29.9181678313044, -90.1129801328188)",3667423.67,517791.95
5820 Patton St,5820 Patton St,Accessory STR,1,2,05/04/2020 12:00:00 AM,"(29.9196672432433, -90.1200705146494)",3665171.85,518313.34
2124 St Bernard Ave,2124 St Bernard Ave,Commercial STR,1,2,04/30/2020 11:59:59 PM,"(29.9777968648338, -90.069013145877)",3681111.97,539626.25
1039 Constance St Unit 5,1039 Constance St Unit 5,Commercial STR,2,4,10/17/2019 11:59:59 PM,"(29.9417000436767, -90.0694329729966)",3681123.84565,526498.63904
431 Bouny St,431 Bouny St,Accessory STR,1,2,07/14/2020 11:59:59 PM,"(29.9506558507531, -90.053850941101)",3686022.27,529810.06
4222 S Carrollton Ave,4222 S Carrollton Ave,Commercial STR,3,6,12/27/2019 11:59:59 PM,"(29.9699936600497, -90.1050526976494)",3669732.85466,536664.60135
1522 Crete St,1522 Crete St,Accessory STR,3,6,10/26/2019 11:59:59 PM,"(29.9785124722032, -90.0786203124754)",3678067.65262,539853.04027
2350 Constance St,2350 Constance St,Accessory STR,1,2,08/14/2019 11:59:59 PM,"(29.9273809184646, -90.0781041293651)",3678434.75,521261.5
301 St Charles Ave Apt 303 Unit 303,301 St Charles Ave Apt 303 Unit 303,Commercial STR,,,08/06/2020 11:59:59 PM,"(29.9514846571108, -90.0702352338778)",3680830.55,530053.88
5544 St Ferdinand Dr,5544 St Ferdinand Dr,Accessory STR,2,4,05/19/2020 11:59:59 PM,"(30.0160548088038, -90.0447021298647)",3688651.96,553624.04
835 Canal St Apt. A,835 Canal St Apt. A,Commercial STR,2,4,02/19/2020 11:59:59 PM,"(29.954539968832, -90.0704282907905)",3680757.17,531164.23
2028 Dumaine St,2028 Dumaine St,Accessory STR,3,6,03/11/2020 11:59:59 PM,"(29.9677601686593, -90.0753717226812)",3679139.02,535954.37
601 S Scott St,601 S Scott St,Accessory STR,1,2,06/03/2020 11:59:59 PM,"(29.9688731052941, -90.1026519474965)",3670497.33,536265.28
300 Magazine St Apt 4B,300 Magazine St Apt 4B,Commercial STR,2,4,04/25/2020 11:59:59 PM,"(29.9503345343439, -90.0674890024836)",3681704.81,529645.25
1012 Elysian Fields Ave Apt 2,1012 Elysian Fields Ave Apt 2,Commercial STR,1,2,05/09/2020 11:59:59 PM,"(29.9678550935306, -90.0571882600828)",3684895.79,536052.55
320 N Cortez St Unit D,320 N Cortez St Unit D,Commercial STR,,,07/21/2020 11:59:59 PM,"(29.974443443623, -90.0956612553329)",3672688.79,538314.71
7931 Bullard Ave,7931 Bullard Ave,Commercial STR,2,4,04/02/2020 11:59:59 PM,"(30.0560573891972, -89.968851619887)",3712482.37,568448.38
822 Howard Ave # 102,822 Howard Ave # 102,Commercial STR,2,4,06/04/2020 11:59:59 PM,"(29.9533156652462, -90.0707830768902)",3680649.73,530717.79
1317 Feliciana St,1317 Feliciana St,Accessory STR,3,6,04/02/2020 11:59:59 PM,"(29.9701136026641, -90.0442558931958)",3688981.12,536919.66
3553 GENTILLY BLVD,3553 GENTILLY BLVD,Temporary STR,5,10,05/09/2020 11:59:59 PM,"(30.003279417858, -90.0535627975545)",3685899.79,548946.98
4112 Magazine St,4112 Magazine St,Commercial STR,2,4,04/14/2020 11:59:59 PM,"(29.9208929615352, -90.0983850946342)",3672036.31,518832.44
1103 Lowerline St,1103 Lowerline St,Accessory STR,3,6,01/07/2020 11:59:59 PM,"(29.9423524462314, -90.1249290501962)",3663545.82,526546.27
2401 Chartres Street,2401 Chartres Street,Accessory STR,2,4,05/22/2020 11:59:59 PM,"(29.9638583365965, -90.053764724384)",3685995.96,534611.27
1011 Piety St,1011 Piety St,Accessory STR,2,4,06/02/2020 11:59:59 PM,"(29.9660590244109, -90.0417868006287)",3689779.47,535454.07
521 S Solomon St,521 S Solomon St,Accessory STR,2,4,04/02/2020 11:59:59 PM,"(29.9718314341316, -90.1058890791707)",3669460.89,537330.05
5301 Magnolia St,5301 Magnolia St,Accessory STR,1,2,03/05/2020 11:59:59 PM,"(29.9371423890346, -90.1101025933649)",3668261.54,524701.52
1229 Port St,1229 Port St,Accessory STR,1,2,06/18/2020 11:59:59 PM,"(29.9703151632477, -90.048605036359)",3687603.33,536977.49
811 Opelousas Ave,811 Opelousas Ave,Commercial STR,3,6,04/24/2020 12:00:00 AM,"(29.9484746689408, -90.0478706463301)",3687924.94,529038.1
434 Opelousas Ave,434 Opelousas Ave,Commercial STR,5,10,07/16/2019 11:59:59 PM,"(29.9489538069978, -90.051208227864)",3686866.06,529200.49
1822 Franklin Ave,1822 Franklin Ave,Commercial STR,3,6,03/14/2020 11:59:59 PM,"(29.9767046285661, -90.0484773276778)",3687617.71,539301.39
5105 Conti St Apt A,5105 Conti St Apt A,Commercial STR,2,4,01/03/2020 11:59:59 PM,"(29.9834484887734, -90.1076708462306)",3668851.59,541548.43
4072 State Dr,4072 State Dr,Accessory STR,2,4,04/26/2020 11:59:59 PM,"(29.9531052501056, -90.1099960213938)",3668233.32,530506.58
1833 Hastings Pl,1833 Hastings Pl,Commercial STR,2,4,05/09/2020 11:59:59 PM,"(29.9314113225673, -90.0734695420636)",3679886.61,522743.21
1510 Erato St,1510 Erato St,Commercial STR,1,2,02/10/2020 11:59:59 PM,"(29.9398266810689, -90.0734287580883)",3679865.88,525803.48
709 Jackson Avenue #Apt 105,709 Jackson Avenue #Apt 105,Commercial STR,1,2,08/15/2020 11:59:59 PM,"(29.9267264994141, -90.0739608545681)",3679749.72,521037.93
1323 Constance St,1323 Constance St,Accessory STR,1,2,08/25/2020 11:59:59 PM,"(29.9374933498599, -90.0704275668205)",3680825.72,524965.46
5208 Burgundy St,5208 Burgundy St,Accessory STR,3,6,07/15/2020 11:59:59 PM,"(29.9599144716209, -90.0209375001643)",3696406.35,533294.7
1615 Columbus St,1615 Columbus St,Commercial STR,4,8,10/25/2019 11:59:59 PM,"(29.9714876329715, -90.0675922919213)",3681587.1318,537336.94068
1738 Clio St Apt D,1738 Clio St Apt D,Commercial STR,2,4,04/12/2020 11:59:59 PM,"(29.9423731701911, -90.0760838882243)",3679014.83,526720.24
7835 Maple St,7835 Maple St,Commercial STR,2,4,06/13/2020 11:59:59 PM,"(29.9643547853368, -90.0727061320571)",3679996.61,534725.32
2221 Feather Rock Rd,2221 Feather Rock Rd,Commercial STR,2,4,06/04/2020 11:59:59 PM,"(29.9352825658079, -90.1094665087535)",3668470.22,524027.37
6030 Benjamin St,6030 Benjamin St,Accessory STR,3,6,03/11/2020 11:59:59 PM,"(29.9302024935429, -90.1194947532003)",3665313.65,522146.28
2805 St Claude Ave Apt A,2805 St Claude Ave Apt A,Commercial STR,1,2,04/16/2020 11:59:59 PM,"(29.968787713981, -90.0479694224844)",3687810.8,536424.31
2433 Pine St,2433 Pine St,Accessory STR,1,2,03/17/2020 11:59:59 PM,"(29.952986469442, -90.1152893156587)",3666557.59,530445.53
ET Al 1039 Toulouse Street,ET Al 1039 Toulouse Street,Commercial STR,3,6,08/12/2020 11:59:59 PM,"(29.9596431117971, -90.0689711415486)",3681198.11,533025.01
7621 Burthe St,7621 Burthe St,Accessory STR,1,2,07/15/2019 04:35:21 PM,"(29.942360609828, -90.1283137295771)",3662473.87,526537.95
1652 N Claiborne Ave,1652 N Claiborne Ave,Commercial STR,3,6,06/08/2020 11:59:59 PM,"(29.9726438726987, -90.0641979302777)",3682657.14,537769.28
2465 Dauphine St,2465 Dauphine St,Accessory STR,1,2,08/05/2020 11:59:59 PM,"(29.9659193896376, -90.0524318361931)",3686409.61,535365.46
1529 Dumaine St,1529 Dumaine St,Accessory STR,3,6,05/30/2020 11:59:59 PM,"(29.9649340401282, -90.0708383096266)",3680585.69,534942.47
2224 St Bernard Ave Apt B,2224 St Bernard Ave Apt B,Commercial STR,2,4,05/23/2020 11:59:59 PM,"(29.9789211837661, -90.0694584330407)",3680966.49,540033.54
2924 St Bernard Ave,2924 St Bernard Ave,Commercial STR,4,8,12/16/2019 11:59:59 PM,"(29.9866862216343, -90.0740679473453)",3679476.18,542841.14
3419 N Roman St,3419 N Roman St,Temporary STR,3,6,07/14/2020 11:59:59 PM,"(29.9739367215149, -90.0379197430371)",3690971.47,538332.51
822 Howard Ave # 102,822 Howard Ave # 102,Commercial STR,1,2,06/05/2020 11:59:59 PM,"(29.95335996581, -90.0708488018095)",3680628.74,530733.67
127 Carondelet,127 Carondelet,Commercial STR,1,2,04/12/2020 11:59:59 PM,"(29.9533351004958, -90.0708052524433)",3680642.63,530724.78
1053 Constance St Apt 303,1053 Constance St Apt 303,Commercial STR,2,4,05/01/2020 11:59:59 PM,"(29.9413089635705, -90.0695927597361)",3681074.81,526355.87
1028 Kerlerec St,1028 Kerlerec St,Commercial STR,2,4,04/10/2020 11:59:59 PM,"(29.9663422945454, -90.0626021354583)",3683187.78,535483.39
Et Al 6108 Marcie St,Et Al 6108 Marcie St,Temporary STR,3,6,09/02/2020 11:59:59 PM,"(29.9977911133604, -90.1140058507625)",3666790.64,546742.59
812 Brooklyn Ave,812 Brooklyn Ave,Commercial STR,2,4,03/11/2020 11:59:59 PM,"(29.9471221472594, -90.0533188535738)",3686205.12,528526.96
822 Howard Ave # 102,822 Howard Ave # 102,Commercial STR,1,2,06/05/2020 11:59:59 PM,"(29.9532988217183, -90.0707644686175)",3680655.69,530711.73
1103 Tchoupitoulas St,1103 Tchoupitoulas St,Commercial STR,2,4,08/01/2020 11:59:59 PM,"(29.9404327280007, -90.0673041835772)",3681803.12,526045.24
8122 Jeannette St,8122 Jeannette St,Commercial STR,1,2,12/05/2019 11:59:59 PM,"(29.949765301386, -90.1280615140766)",3662525.42317,529231.42067
1627 ST.CHARLES AVE. APT.B,1627 ST.CHARLES AVE. APT.B,Commercial STR,2,4,06/17/2020 11:59:59 PM,"(29.93796557256, -90.0766759950315)",3678844.89,525115.42
502 Frenchmen St Apt F,502 Frenchmen St Apt F,Commercial STR,,,10/29/2019 11:59:59 PM,"(29.9626588936756, -90.0579776878389)",3684666.87697,534160.23661
1121 N Roman St,1121 N Roman St,Accessory STR,2,4,01/07/2020 11:59:59 PM,"(29.9690114833718, -90.0719945023223)",3680203.29,536421.15
822 Howard Ave 201,822 Howard Ave 201,Commercial STR,2,4,07/30/2020 11:59:59 PM,"(29.9441417368932, -90.0743972978358)",3679541.9,527369.22
1201 Constantinople,1201 Constantinople,Accessory STR,2,4,05/11/2020 11:59:59 PM,"(29.9241524569847, -90.0969421005248)",3672480.61,520022.64
25484 Chef Menteur Hwy,25484 Chef Menteur Hwy,Commercial STR,3,6,05/22/2020 11:59:59 PM,"(30.1391871988757, -89.7527734064953)",3780416.94,599555.5
7736 Nelson St,7736 Nelson St,Accessory STR,2,4,12/16/2019 11:59:59 PM,"(29.9545868027547, -90.1171655251235)",3665957.28685,531021.16199
1719 Terpsichore St,1719 Terpsichore St,Commercial STR,3,6,04/09/2020 11:59:59 PM,"(29.9394241542315, -90.0777167206108)",3678509.47,525642.2
822 Howard Ave # 102,822 Howard Ave # 102,Commercial STR,1,2,06/07/2020 11:59:59 PM,"(29.9519318792991, -90.0714666520439)",3680438.81,530212.21
1027 Delachaise St,1027 Delachaise St,Commercial STR,,,06/04/2020 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3674767.44,519359.77
623 S Lopez St,623 S Lopez St,Commercial STR,3,6,04/24/2020 11:59:59 PM,"(29.9638868266176, -90.0966842992805)",3672406.33,534472.42
3616 Banks Street,3616 Banks Street,Accessory STR,3,6,01/08/2020 11:59:59 PM,"(29.9688382146034, -90.0988972195075)",3671686.26,536265.38
3433 Calhoun St,3433 Calhoun St,Accessory STR,1,2,07/30/2020 11:59:59 PM,"(29.9498137973791, -90.1116305093621)",3667728.5,529304.16
339 Carondelet St Apt 4B 4B,339 Carondelet St Apt 4B 4B,Commercial STR,1,2,05/05/2020 11:59:59 PM,"(29.9511149813526, -90.071620318848)",3680393.42,529914.62
"1529 Robert C Blakes, SR Dr","1529 Robert C Blakes, SR Dr",Commercial STR,3,6,04/09/2020 11:59:59 PM,"(29.9392723054603, -90.0772996300379)",3678642.17,525588.43
1125 N Rampart St Apt 3,1125 N Rampart St Apt 3,Commercial STR,1,2,07/23/2019 11:59:59 PM,"(29.9643802899211, -90.0653739342461)",3682318.07,534760.21
334 Carondelet St Unit 201,334 Carondelet St Unit 201,Commercial STR,3,6,05/15/2020 11:59:59 PM,"(29.9510475790767, -90.0712905725598)",3680498.11,529891.26
2306 Barracks St,2306 Barracks St,Accessory STR,,,05/20/2020 11:59:59 PM,"(29.9724583030501, -90.074692803707)",3679335.21,537665.15
"1717 Robert C Blakes, SR Dr Apt A","1717 Robert C Blakes, SR Dr Apt A",Commercial STR,5,10,07/30/2020 11:59:59 PM,"(29.9380882184812, -90.0782225577314)",3678354.59,525154.65
4738 Palmyra St,4738 Palmyra St,Accessory STR,2,4,04/12/2020 11:59:59 PM,"(29.9774196071072, -90.1094085462487)",3668324.91,539350.21
915 Touro St,915 Touro St,Accessory STR,2,4,11/28/2019 11:59:59 PM,"(29.9668078275912, -90.0590627197681)",3684306.54434,535665.12033
11 Marlborough Gate Pl Unit D,11 Marlborough Gate Pl Unit D,Commercial STR,2,4,01/24/2020 01:38:27 PM,"(29.9346384605113, -90.1080688813033)",3668915.38,523797.88
1504 Erato St,1504 Erato St,Commercial STR,1,2,02/10/2020 11:59:59 PM,"(29.9397095091889, -90.0734752952011)",3679851.61,525760.71
837 Jackson Ave Apt B,837 Jackson Ave Apt B,Commercial STR,2,4,02/25/2020 11:59:59 PM,"(29.9279477789817, -90.0750445111828)",3679401.6,521478.26
709 Jackson Avenue #Apt 104,709 Jackson Avenue #Apt 104,Commercial STR,1,2,07/19/2020 11:59:59 PM,"(29.9267917706214, -90.0739680184786)",3679747.19,521061.64
1318 Prytania St B,1318 Prytania St B,Commercial STR,2,4,04/10/2020 11:59:59 PM,"(29.9392719708405, -90.0732011268039)",3679940.19,525602.56
