Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
1860 Burgundy St,1860 Burgundy St,Accessory STR,3,6,10/06/2020 11:59:59 PM,"(29.9662433235007, -90.0604567185791)",3683867.46,535454.94
8422 Pritchard Pl,8422 Pritchard Pl,Accessory STR,1,2,10/21/2019 06:22:13 PM,"(29.9620141260871, -90.1197940769974)",3665096.33,533713.2
1805 Coliseum St,1805 Coliseum St,Accessory STR,1,2,10/06/2020 11:59:59 PM,"(29.9342934930026, -90.0756253062278)",3679192.31,523783.77
6101 Stratford Pl,6101 Stratford Pl,Temporary STR,3,6,10/06/2020 11:59:59 PM,"(29.9123536135853, -89.9899863640911)",3706409.41,516113.57
1327 Gallier St,1327 Gallier St,Accessory STR,2,4,10/06/2020 11:59:59 PM,"(29.9691577092201, -90.0387151288979)",3690739.29,536591.84
3671 Tchoupitoulas St,3671 Tchoupitoulas St,Commercial STR,,,10/06/2020 11:59:59 PM,"(29.9179771128916, -90.0921012640173)",3674038.29,517793.64
212 Magazine St Apt 4A,212 Magazine St Apt 4A,Commercial STR,1,2,10/06/2020 11:59:59 PM,"(29.9507583198827, -90.0673129118016)",3681758.87,529799.97
212 Magazine St Apt 3B,212 Magazine St Apt 3B,Commercial STR,1,2,10/06/2020 11:59:59 PM,"(29.9507802850798, -90.0673636011979)",3681742.73,529807.78
2235 S Carrollton Ave,2235 S Carrollton Ave,Accessory STR,3,6,10/06/2020 11:59:59 PM,"(29.9547722579728, -90.1212368969691)",3664667.34,531074.94
3673 Tchoupitoulas St,3673 Tchoupitoulas St,Commercial STR,,,10/06/2020 11:59:59 PM,"(29.9179717651827, -90.0921436320157)",3674024.89,517791.55
1601 Dumaine St,1601 Dumaine St,Accessory STR,3,6,10/06/2020 11:59:59 PM,"(29.9651090069252, -90.0710718014577)",3680511.06,535005.28
212 Magazine St Apt 4D,212 Magazine St Apt 4D,Commercial STR,1,2,10/06/2020 11:59:59 PM,"(29.9507401856584, -90.0672659632666)",3681773.81,529793.54
117 W Hubbell Rd,117 W Hubbell Rd,Commercial STR,4,8,10/06/2020 11:59:59 PM,"(29.9540436388778, -90.0441820318788)",3689070.25,531076.3
212 Magazine St Apt 4B,212 Magazine St Apt 4B,Commercial STR,1,2,10/06/2020 11:59:59 PM,"(29.9507529042749, -90.0672959595779)",3681764.26,529798.06
1317 Columbus St,1317 Columbus St,Accessory STR,3,6,06/01/2020 11:59:59 PM,"(29.9691687820748, -90.0644279811535)",3682598.3,536504.8
614 N Carrolton,614 N Carrolton,Commercial STR,4,8,08/27/2020 11:59:59 PM,"(29.9782823039557, -90.0961874427649)",3672507.13,539708.87
1914 Amelia St,1914 Amelia St,Accessory STR,3,6,09/12/2020 11:59:59 PM,"(29.930567481808, -90.0958562018877)",3672799.38,522359.09
334 Carondelet St Unit 409,334 Carondelet St Unit 409,Commercial STR,1,2,09/16/2020 11:59:59 PM,"(29.9508502568344, -90.0712092582434)",3680524.65,529819.79
3220 Nashville Ave,3220 Nashville Ave,Accessory STR,3,6,09/13/2020 11:59:59 PM,"(29.9451895169261, -90.111359860851)",3667832.14,527623.51
628 Baronne St PH 401,628 Baronne St PH 401,Commercial STR,3,6,09/24/2020 11:59:59 PM,"(29.9482085191864, -90.073328866005)",3679864,528851.77
322 Lafayette St Unit 301,322 Lafayette St Unit 301,Commercial STR,1,2,10/17/2019 11:02:33 AM,"(29.9473557483665, -90.0666788032104)",3681973.35,528564.89
3029 Hudson Pl,3029 Hudson Pl,Accessory STR,3,6,09/15/2020 11:59:59 PM,"(29.9221938529088, -90.0004667556354)",3703047.72,519653.03
2108 Philip St,2108 Philip St,Accessory STR,1,2,09/15/2020 11:59:59 PM,"(29.9374318576549, -90.0854072473853)",3676081.73,524891.12
1926 W Homestead Dr,1926 W Homestead Dr,Accessory STR,2,4,09/06/2020 11:59:59 PM,"(29.9365122030826, -90.0195323738498)",3696948.84,524789.92
2140 Napoleon Ave,2140 Napoleon Ave,Accessory STR,3,6,07/07/2020 11:59:59 PM,"(29.9322162914371, -90.1035094557088)",3670368.9,522932.56
6153 Carlisle Ct,6153 Carlisle Ct,Accessory STR,2,4,09/23/2020 11:59:59 PM,"(29.9131389150093, -89.9887673767611)",3706792.22,516403.66
6000 Elysian Fields Avenue,6000 Elysian Fields Avenue,Accessory STR,1,2,09/14/2020 11:59:59 PM,"(30.0198866272527, -90.0614313311016)",3683342.35,554958.29
